section,trip_no,error
兴海南路-梅堰,123,兴海南路-梅堰 trip 123 has no matching segment rows.
兴海南路-梅堰,124,兴海南路-梅堰 trip 124 has no matching segment rows.
兴海南路-梅堰,125,兴海南路-梅堰 trip 125 has no matching segment rows.
梅堰-永茂路,71,梅堰-永茂路 trip 71 has no matching segment rows.
梅堰-永茂路,72,梅堰-永茂路 trip 72 has no matching segment rows.
梅堰-永茂路,73,梅堰-永茂路 trip 73 has no matching segment rows.
梅堰-永茂路,74,梅堰-永茂路 trip 74 has no matching segment rows.
梅堰-永茂路,75,梅堰-永茂路 trip 75 has no matching segment rows.
梅堰-永茂路,76,梅堰-永茂路 trip 76 has no matching segment rows.
梅堰-永茂路,77,梅堰-永茂路 trip 77 has no matching segment rows.
梅堰-永茂路,78,梅堰-永茂路 trip 78 has no matching segment rows.
梅堰-永茂路,79,梅堰-永茂路 trip 79 has no matching segment rows.
梅堰-永茂路,80,梅堰-永茂路 trip 80 has no matching segment rows.
梅堰-永茂路,81,梅堰-永茂路 trip 81 has no matching segment rows.
梅堰-永茂路,82,梅堰-永茂路 trip 82 has no matching segment rows.
梅堰-永茂路,83,梅堰-永茂路 trip 83 has no matching segment rows.
梅堰-永茂路,84,梅堰-永茂路 trip 84 has no matching segment rows.
梅堰-永茂路,85,梅堰-永茂路 trip 85 has no matching segment rows.
梅堰-永茂路,86,梅堰-永茂路 trip 86 has no matching segment rows.
梅堰-永茂路,87,梅堰-永茂路 trip 87 has no matching segment rows.
梅堰-永茂路,88,梅堰-永茂路 trip 88 has no matching segment rows.
梅堰-永茂路,89,梅堰-永茂路 trip 89 has no matching segment rows.
梅堰-永茂路,90,梅堰-永茂路 trip 90 has no matching segment rows.
梅堰-永茂路,91,梅堰-永茂路 trip 91 has no matching segment rows.
梅堰-永茂路,92,梅堰-永茂路 trip 92 has no matching segment rows.
梅堰-永茂路,93,梅堰-永茂路 trip 93 has no matching segment rows.
梅堰-永茂路,94,梅堰-永茂路 trip 94 has no matching segment rows.
梅堰-永茂路,95,梅堰-永茂路 trip 95 has no matching segment rows.
梅堰-永茂路,96,梅堰-永茂路 trip 96 has no matching segment rows.
梅堰-永茂路,97,梅堰-永茂路 trip 97 has no matching segment rows.
梅堰-永茂路,98,梅堰-永茂路 trip 98 has no matching segment rows.
梅堰-永茂路,99,梅堰-永茂路 trip 99 has no matching segment rows.
梅堰-永茂路,100,梅堰-永茂路 trip 100 has no matching segment rows.
梅堰-永茂路,101,梅堰-永茂路 trip 101 has no matching segment rows.
梅堰-永茂路,102,梅堰-永茂路 trip 102 has no matching segment rows.
梅堰-永茂路,103,梅堰-永茂路 trip 103 has no matching segment rows.
梅堰-永茂路,104,梅堰-永茂路 trip 104 has no matching segment rows.
梅堰-永茂路,105,梅堰-永茂路 trip 105 has no matching segment rows.
梅堰-永茂路,106,梅堰-永茂路 trip 106 has no matching segment rows.
梅堰-永茂路,107,梅堰-永茂路 trip 107 has no matching segment rows.
梅堰-永茂路,108,梅堰-永茂路 trip 108 has no matching segment rows.
梅堰-永茂路,109,梅堰-永茂路 trip 109 has no matching segment rows.
梅堰-永茂路,110,梅堰-永茂路 trip 110 has no matching segment rows.
梅堰-永茂路,111,梅堰-永茂路 trip 111 has no matching segment rows.
梅堰-永茂路,112,梅堰-永茂路 trip 112 has no matching segment rows.
梅堰-永茂路,113,梅堰-永茂路 trip 113 has no matching segment rows.
梅堰-永茂路,114,梅堰-永茂路 trip 114 has no matching segment rows.
梅堰-永茂路,115,梅堰-永茂路 trip 115 has no matching segment rows.
梅堰-永茂路,116,梅堰-永茂路 trip 116 has no matching segment rows.
梅堰-永茂路,117,梅堰-永茂路 trip 117 has no matching segment rows.
梅堰-永茂路,118,梅堰-永茂路 trip 118 has no matching segment rows.
梅堰-永茂路,119,梅堰-永茂路 trip 119 has no matching segment rows.
梅堰-永茂路,120,梅堰-永茂路 trip 120 has no matching segment rows.
梅堰-永茂路,121,梅堰-永茂路 trip 121 has no matching segment rows.
梅堰-永茂路,122,梅堰-永茂路 trip 122 has no matching segment rows.
梅堰-永茂路,123,梅堰-永茂路 trip 123 has no matching segment rows.
梅堰-永茂路,124,梅堰-永茂路 trip 124 has no matching segment rows.
梅堰-永茂路,125,梅堰-永茂路 trip 125 has no matching segment rows.
