section,run_class,sample_count,duration_median_s,duration_mean_s,energy_median_wh,energy_mean_wh,mass_median_t,mass_mean_t,energy_per_t_median_wh_per_t,energy_per_t_mean_wh_per_t,energy_per_second_median
张家潭-同德路,class2,11,147.05,147.54090909090908,17880.902712562518,17866.594083850996,215.24000000000004,215.31272727272733,83.07425530831868,82.97928602731123,120.925232085389
张家潭-同德路,class3,98,151.05,151.09132653061224,17592.395069715287,17646.781175136897,215.24000000000004,215.31020408163272,81.73385555526522,81.95985301934286,116.51127132831371
张家潭-布政,class3,23,116.95,117.05217391304348,12966.234033041681,12998.354628794676,215.24,215.2747826086956,60.24081970378033,60.38033500760045,110.64038518563628
张家潭-布政,class4,53,122.95,121.65000000000002,12019.095698944493,12165.433564594472,215.24000000000004,215.31547169811319,55.84043718149271,56.499815348074634,97.63684564536551
张家潭-布政,class5,27,124.75,124.92592592592592,11717.831264451399,11720.90971756455,215.24,215.25481481481478,54.440769673162045,54.45135821920002,93.81770427903442
曹隘-柳隘,class2,68,106.6,106.48455882352941,20942.083625888936,21218.92205326797,216.44000000000003,220.09514705882353,96.69240016364125,96.39977201319532,196.73160429754904
曹隘-柳隘,class3,38,107.25,107.35263157894737,20757.479854836813,20695.552927182016,216.02999999999997,216.89578947368418,96.15122718397595,95.41321785729323,193.30936393519443
曹隘-柳隘,class4,1,110.75,110.75,19025.36836720829,19025.36836720829,242.09999999999994,242.09999999999994,78.58475162002601,78.58475162002601,171.7866218258085
曹隘-泗港,class2,3,126.15,126.59999999999998,21258.953048666695,21173.660224282412,221.5,221.4666666666666,95.9772146666668,95.60735312966533,168.52122908178117
曹隘-泗港,class3,88,131.7,131.74318181818182,19985.12427855897,20035.08562068955,216.71999999999994,218.31136363636367,91.83456317255563,91.7673650230608,151.22918157997694
曹隘-泗港,class4,13,134.45,134.3692307692308,19502.10264715281,19590.530538418792,216.13999999999993,217.51153846153844,89.7739186700154,90.06576247495182,145.28331473502703
曹隘-泗港,class5,1,142.95,142.95,17716.680387993027,17716.680387993027,215.24,215.24,82.31128223375315,82.31128223375315,123.93620418323209
柳隘-曹隘,class4,41,112.7,112.68536585365852,22212.435186187548,22150.399445216128,220.0,221.3468292682927,100.21091168671067,100.0722659581405,197.06814403502204
柳隘-曹隘,class5,63,118.55,118.35,19390.767064458334,19415.140543255955,216.54,216.6069841269841,89.56413768615613,89.6320968897443,163.47676561734883
柳隘-海晏北路,class2,70,88.8,88.82642857142858,14583.750062715277,14658.971660019244,216.89000000000001,221.1364285714286,66.62180004795704,66.27156295540972,164.52214645186
柳隘-海晏北路,class3,35,90.65,91.07428571428571,11858.437481444429,12218.151587353377,216.34,216.54057142857144,54.38815653253302,56.43007168933249,128.3380679810003
梅堰-兴海南路,class3,74,81.3,81.33108108108108,12744.318546503482,12755.734293490525,215.63999999999993,215.8955405405405,59.08630030509756,59.082398296521006,156.67328009187185
梅堰-永茂路,class2,1,304.95,304.95,33733.81390427067,33733.81390427067,216.24,216.24,156.00172911704897,156.00172911704897,110.62080309647703
梅堰-永茂路,class3,26,317.4,316.8807692307692,29241.51045879155,29307.270255106585,215.54,215.87769230769229,135.5136772896601,135.75925413855313,92.14559669227091
梅堰-永茂路,class4,31,329.75,329.67419354838717,25773.833148937483,25820.11019113282,215.34,215.398064516129,119.65345866599263,119.87159694444935,78.19671433276822
民安东路-会展中心,class2,96,76.95,76.92916666666667,12279.330731166672,12440.725298087533,217.1399999999999,220.06687499999998,56.296251272987135,56.53491810992487,160.0753353534571
民安东路-会展中心,class3,8,78.2,78.1,12916.48340392013,12597.930196967878,216.94,217.26749999999998,59.65206914990225,57.97952109206731,164.67709651591213
民安东路-海晏北路,class3,16,86.775,86.65,8788.280093541678,8890.972665585503,224.29500000000004,225.16625,39.27329921763366,39.48357476961213,101.36880918942414
民安东路-海晏北路,class4,48,89.675,89.27499999999999,7077.1822510034835,7449.935791502891,217.81000000000006,220.52479166666663,32.49968300894662,33.71895233053048,78.77023619349228
民安东路-海晏北路,class5,40,92.025,92.2375,6033.608827093749,5985.68334425486,216.54,216.91099999999997,27.889191680911875,27.59426976377343,65.44469844845776
永茂路-梅堰,class1,64,288.3,288.2734375,33093.8527612014,32959.87906928755,215.49,215.65499999999997,153.569484464296,152.83562335758512,114.55611599073043
永茂路-镇海大道,class2,104,142.45,142.4153846153846,17809.384914253496,17750.462209198584,215.44000000000003,215.5801923076923,82.63147333906295,82.33822441525382,125.10983431158058
永茂路-镇海大道,class4,1,152.1,152.1,14670.727236673612,14670.727236673612,215.24,215.24,68.15985521591531,68.15985521591531,96.45448544821573
泗港-大洋江,class2,104,87.05,86.93124999999999,14706.5740421979,14700.726805991319,216.32000000000005,217.9830769230769,67.74100843580513,67.43549972418816,169.00705950492707
泗港-曹隘,class1,3,124.55,124.61666666666667,21234.291495374986,21446.173020324062,220.7,225.40666666666667,95.17625007935659,95.13779642529865,170.6250823252309
泗港-曹隘,class2,6,128.72500000000002,128.51666666666665,20445.59822244796,20482.077396462962,217.13,218.33999999999995,93.96206529955168,93.80103523959019,159.01739801358397
泗港-曹隘,class3,18,132.25,131.8888888888889,22905.9415499826,23001.688373385787,216.38999999999996,220.2911111111111,104.89592462245386,104.42195717991987,173.31156057372718
泗港-曹隘,class4,82,134.85,134.85548780487804,23060.207226274342,23164.449572947404,216.13999999999993,218.10414634146338,105.88549082625765,106.21825467466822,170.8243846893845
海晏北路-柳隘,class2,6,89.2,89.14999999999999,13870.905294402764,13575.703325431705,220.80000000000007,220.34333333333336,62.821129050737134,61.62610346189876,156.0746365440259
海晏北路-柳隘,class3,98,90.92500000000001,91.04948979591838,12465.504044590245,12409.562995448909,216.78,218.74448979591838,57.170032425174796,56.731903488102,137.06439607176975
海晏北路-民安东路,class2,64,83.8,83.70703125,15912.356481375013,16138.476763177081,217.52999999999997,221.15578125,72.33634134904574,72.97994193450177,190.3126115719296
海晏北路-民安东路,class3,41,84.3,84.2939024390244,15644.099849840235,15963.618981780488,216.61999999999992,219.67780487804876,71.82010802274809,72.65003891256195,185.92305247398946
盎孟港-三官堂,class2,52,131.025,131.28653846153844,19133.092640322902,18819.365073331985,216.93,218.32692307692307,87.99650424045404,86.21188592108166,145.560145549263
盎孟港-三官堂,class3,52,138.875,138.925,17507.366812520828,17449.23649735857,215.83999999999997,215.96019230769232,81.16915173416848,80.79501122217665,125.51103905296995
盎孟港-院士路,class2,2,89.3,89.3,13528.690100079857,13528.690100079857,220.45000000000005,220.45000000000005,61.368566697573286,61.368566697573286,151.4967733021741
盎孟港-院士路,class3,27,92.85,92.78518518518518,10032.500553027803,9857.447652405606,217.54,219.64444444444442,44.687009750963625,44.883805276812716,108.30831681244375
盎孟港-院士路,class4,69,96.7,96.37028985507246,7491.682233340268,7723.369501967796,216.1399999999999,216.61681159420286,34.581572749722405,35.641755976025294,77.4921669335134
盎孟港-院士路,class5,6,98.4,98.375,6751.3832900833295,6755.660843174766,216.68999999999994,216.8733333333333,31.072832988708463,31.150971615624837,68.51024561220193
石碶-同德路,class3,6,110.19999999999999,110.14166666666665,13341.865339211796,13507.2925787419,215.74,215.89,61.824775413988306,62.55750258941675,121.3165525398471
石碶-同德路,class4,42,112.95,113.43333333333335,13631.081612434024,13554.451547897319,215.63999999999993,216.02238095238093,63.128586513976956,62.740564799259595,120.92282383582534
石碶-同德路,class5,55,117.9,117.91272727272724,11725.936769173612,11762.983745098994,215.44000000000003,215.45818181818186,54.4784276583052,54.59523019073235,99.28820295659283
石碶-雅渡,class2,38,78.92500000000001,78.9171052631579,12333.743097718754,12536.078534820905,215.84000000000003,216.51105263157896,57.12290956617962,57.89538026778589,156.36891764779546
石碶-雅渡,class3,63,82.1,82.39285714285712,12903.747219527759,12673.748861544093,215.6399999999999,216.33238095238096,59.85722898675675,58.58535101011381,155.95403447247074
石碶-雅渡,class4,8,84.275,84.45625,12945.038593322926,12291.999972517366,215.64,215.765,59.988904255352246,56.96864601227129,153.65030971303176
鄞州区政府-钟公庙,class3,21,92.05,91.97619047619048,14431.164382840298,14612.459300223225,216.71999999999989,219.1161904761905,66.4089912682335,66.66579619133164,156.18143271472184
鄞州区政府-钟公庙,class4,72,95.67500000000001,95.21597222222222,12192.205274635406,12652.544967268714,215.94000000000003,216.81138888888887,56.50040524717387,58.33860675296579,127.46775108002154
鄞州区政府-钟公庙,class5,7,97.55,97.49285714285713,11759.76030717365,11885.309779931556,216.04,216.3542857142857,54.32159421595796,54.93310894034285,120.54634500276676
鄞州区政府-钱湖南路,class2,45,127.75,127.82666666666667,19007.63134057642,18968.012459142752,217.71999999999997,220.67466666666667,86.12731705180627,85.98436130092325,148.715943519296
鄞州区政府-钱湖南路,class3,62,132.075,132.13064516129032,17054.092747114613,17009.399849356843,215.83999999999997,215.99677419354842,79.03120578016386,78.74824829004953,128.7516677278528
钟公庙-庙堰,class3,12,98.175,98.05416666666667,12417.511816559023,12379.205746868638,217.09,218.28666666666663,57.15885579468147,56.71511603118412,126.53672412475328
钟公庙-庙堰,class4,45,99.6,100.64777777777779,11683.45877288889,11451.56020145679,216.04000000000002,217.94644444444444,53.55610131517619,52.53490966135233,117.70347878919327
钟公庙-庙堰,class5,46,104.45,104.56956521739131,10335.281613774308,10327.71996426887,215.73999999999998,215.89913043478253,47.9417466472909,47.83546525459444,98.80729836001731
钟公庙-鄞州区政府,class3,108,90.525,90.33703703703704,10500.392941881972,11459.07189335455,215.73999999999998,217.4457407407407,48.41861788667232,52.65960726134881,115.50252606179308
钟公庙-鄞州区政府,class4,1,92.8,92.8,9168.634177812522,9168.634177812522,215.84,215.84,42.47884626488381,42.47884626488381,98.79993726091081
钱湖南路-南高教园区,class2,44,97.05,97.1386363636364,15882.884728371542,15883.031627225853,218.02999999999997,221.20795454545453,72.53588709375862,71.80016167818827,163.37112150944267
钱湖南路-南高教园区,class3,63,100.6,100.61904761904763,13845.732000500084,13695.54561620238,215.94000000000003,216.0893650793651,64.14812824545999,63.37910951050996,137.7252739309932
钱湖南路-鄞州区政府,class2,23,129.75,129.4478260869565,17423.078592243066,17307.058778656097,217.42000000000007,219.40347826086952,80.52319411272276,78.87981203568333,134.0236814787928
钱湖南路-鄞州区政府,class3,81,130.8,130.81728395061728,16601.089045736182,16479.36081895953,216.13999999999993,217.28,76.81054032213913,75.84087401460928,126.21001501502607
镇海大道-永茂路,class2,24,144.0,143.63541666666666,24567.798337465276,24752.255588011274,215.53999999999996,215.65916666666666,113.98151846705218,114.77480101736545,170.8322375448474
镇海大道-永茂路,class3,86,145.7,145.83604651162787,24145.98225400003,24226.052117396564,215.44000000000003,215.5688372093023,112.07094655259195,112.38205540888062,165.94641092170107
镇海大道-骆驼桥,class2,101,117.1,117.03663366336633,20269.38748239581,20230.498351340357,215.33999999999995,215.44693069306933,94.12736826597852,93.89994016278453,173.16054662269508
镇海大道-骆驼桥,class3,1,119.55,119.55,19391.127027312523,19391.127027312523,215.33999999999997,215.33999999999997,90.048885610256,90.048885610256,162.20097889847364
镇海大道-骆驼桥,class4,1,126.7,126.7,16310.588918909714,16310.588918909714,215.24,215.24,75.77861419303899,75.77861419303899,128.7339299045755
院士路-会展中心,class3,3,116.35,116.5,23072.961741458355,22896.68600090274,221.59999999999997,221.70000000000002,104.11986345423448,103.27740660355039,198.30650400909633
院士路-会展中心,class4,102,119.85,119.84607843137256,18755.034601368017,19002.88829728635,216.98000000000002,218.22901960784307,85.96717211154174,87.07123068213424,156.6498687823002
院士路-盎孟港,class2,5,89.35,89.36000000000001,18869.130755923634,18995.246222404174,217.7199999999999,219.70399999999995,86.66696103216812,86.44847880087767,211.18221327278832
院士路-盎孟港,class3,99,90.6,90.66262626262625,19353.596660479154,19128.42991599074,216.13999999999993,217.65777777777777,88.14794362292099,87.87505150202715,213.77755400363307
雅渡-庙堰,class2,32,130.05,129.7875,21588.355582024276,21744.897704514966,215.74,217.74124999999998,100.08255329590588,99.85904209662098,166.50630458558672
雅渡-庙堰,class3,67,132.75,132.6507462686567,20767.773421534697,20830.992856019067,215.74000000000004,216.42089552238804,95.7966363763303,96.25548148114196,156.6609740109431
雅渡-庙堰,class4,10,136.5,136.57,19573.830782965284,19568.57635884651,215.58999999999997,215.618,90.79191164082533,90.75643862625387,143.21255929582773
雅渡-石碶,class2,1,80.5,80.5,12725.548366861112,12725.548366861112,216.24,216.24,58.84918778607617,58.84918778607617,158.08134617218772
雅渡-石碶,class3,102,82.2,82.23774509803923,11193.818464204845,11321.630779054733,215.63999999999993,216.38196078431375,51.8638746971751,52.31896213656251,136.457450010189
骆驼桥-镇海大道,class2,11,117.05,117.24545454545455,14092.21121634726,14333.534218791676,215.33999999999995,215.40363636363637,65.47208333184936,66.54180098322728,120.34339211227379
骆驼桥-镇海大道,class3,78,123.85,123.62628205128203,11353.560334253456,11526.842814825588,215.33999999999997,215.43102564102563,52.73609483158624,53.505505617144486,91.95700419595273
骆驼桥-镇海大道,class4,19,126.1,126.21052631578945,11425.716316236147,11214.346128923613,215.33999999999995,215.37157894736842,53.0836104638364,52.06967162209714,89.76647806230424
