服务号,实际运行等级,station_pair
50712.0,,张家潭-同德路
50714.0,,张家潭-同德路
50716.0,,张家潭-同德路
50703.0,,张家潭-布政
50705.0,,张家潭-布政
50707.0,,张家潭-布政
50709.0,,张家潭-布政
50711.0,,张家潭-布政
50713.0,,张家潭-布政
50715.0,,张家潭-布政
50704.0,,曹隘-柳隘
50706.0,,曹隘-柳隘
50708.0,,曹隘-柳隘
50710.0,,曹隘-柳隘
50712.0,,曹隘-柳隘
50714.0,,曹隘-柳隘
50716.0,,曹隘-柳隘
50703.0,,曹隘-泗港
50705.0,,曹隘-泗港
50707.0,,曹隘-泗港
50709.0,,曹隘-泗港
50711.0,,曹隘-泗港
50713.0,,曹隘-泗港
50715.0,,曹隘-泗港
50703.0,,柳隘-曹隘
50705.0,,柳隘-曹隘
50707.0,,柳隘-曹隘
50709.0,,柳隘-曹隘
50711.0,,柳隘-曹隘
50713.0,,柳隘-曹隘
50715.0,,柳隘-曹隘
50704.0,,柳隘-海晏北路
50706.0,,柳隘-海晏北路
50708.0,,柳隘-海晏北路
50710.0,,柳隘-海晏北路
50712.0,,柳隘-海晏北路
50714.0,,柳隘-海晏北路
50716.0,,柳隘-海晏北路
50703.0,,梅堰-兴海南路
50705.0,,梅堰-兴海南路
50707.0,,梅堰-兴海南路
50709.0,,梅堰-兴海南路
50711.0,,梅堰-兴海南路
50713.0,,梅堰-兴海南路
50715.0,,梅堰-兴海南路
50704.0,,梅堰-永茂路
50706.0,,梅堰-永茂路
50708.0,,梅堰-永茂路
50710.0,,梅堰-永茂路
50712.0,,梅堰-永茂路
50714.0,,梅堰-永茂路
50716.0,,梅堰-永茂路
50704.0,,民安东路-会展中心
50706.0,,民安东路-会展中心
50708.0,,民安东路-会展中心
50710.0,,民安东路-会展中心
50712.0,,民安东路-会展中心
50714.0,,民安东路-会展中心
50716.0,,民安东路-会展中心
50703.0,,民安东路-海晏北路
50705.0,,民安东路-海晏北路
50707.0,,民安东路-海晏北路
50709.0,,民安东路-海晏北路
50711.0,,民安东路-海晏北路
50713.0,,民安东路-海晏北路
50715.0,,民安东路-海晏北路
50703.0,,永茂路-梅堰
50705.0,,永茂路-梅堰
50707.0,,永茂路-梅堰
50709.0,,永茂路-梅堰
50711.0,,永茂路-梅堰
50713.0,,永茂路-梅堰
50715.0,,永茂路-梅堰
50704.0,,永茂路-镇海大道
50706.0,,永茂路-镇海大道
50708.0,,永茂路-镇海大道
50710.0,,永茂路-镇海大道
50712.0,,永茂路-镇海大道
50714.0,,永茂路-镇海大道
50716.0,,永茂路-镇海大道
50703.0,,泗港-大洋江
50707.0,,泗港-大洋江
50709.0,,泗港-大洋江
50711.0,,泗港-大洋江
50713.0,,泗港-大洋江
50715.0,,泗港-大洋江
50704.0,,泗港-曹隘
50706.0,,泗港-曹隘
50708.0,,泗港-曹隘
50710.0,,泗港-曹隘
50712.0,,泗港-曹隘
50714.0,,泗港-曹隘
50716.0,,泗港-曹隘
50703.0,,海晏北路-柳隘
50705.0,,海晏北路-柳隘
50707.0,,海晏北路-柳隘
50709.0,,海晏北路-柳隘
50711.0,,海晏北路-柳隘
50713.0,,海晏北路-柳隘
50715.0,,海晏北路-柳隘
50704.0,,海晏北路-民安东路
50706.0,,海晏北路-民安东路
50708.0,,海晏北路-民安东路
50710.0,,海晏北路-民安东路
50712.0,,海晏北路-民安东路
50714.0,,海晏北路-民安东路
50716.0,,海晏北路-民安东路
50704.0,,盎孟港-三官堂
50706.0,,盎孟港-三官堂
50708.0,,盎孟港-三官堂
50710.0,,盎孟港-三官堂
50712.0,,盎孟港-三官堂
50714.0,,盎孟港-三官堂
50716.0,,盎孟港-三官堂
50703.0,,盎孟港-院士路
50705.0,,盎孟港-院士路
50707.0,,盎孟港-院士路
50709.0,,盎孟港-院士路
50711.0,,盎孟港-院士路
50713.0,,盎孟港-院士路
50715.0,,盎孟港-院士路
50703.0,,石碶-同德路
50705.0,,石碶-同德路
50707.0,,石碶-同德路
50709.0,,石碶-同德路
50713.0,,石碶-同德路
50715.0,,石碶-同德路
50704.0,,石碶-雅渡
50706.0,,石碶-雅渡
50708.0,,石碶-雅渡
50710.0,,石碶-雅渡
50712.0,,石碶-雅渡
50714.0,,石碶-雅渡
50716.0,,石碶-雅渡
50703.0,,鄞州区政府-钟公庙
50705.0,,鄞州区政府-钟公庙
50707.0,,鄞州区政府-钟公庙
50709.0,,鄞州区政府-钟公庙
50711.0,,鄞州区政府-钟公庙
50713.0,,鄞州区政府-钟公庙
50715.0,,鄞州区政府-钟公庙
50704.0,,鄞州区政府-钱湖南路
50706.0,,鄞州区政府-钱湖南路
50708.0,,鄞州区政府-钱湖南路
50710.0,,鄞州区政府-钱湖南路
50712.0,,鄞州区政府-钱湖南路
50714.0,,鄞州区政府-钱湖南路
50716.0,,鄞州区政府-钱湖南路
50703.0,,钟公庙-庙堰
50705.0,,钟公庙-庙堰
50707.0,,钟公庙-庙堰
50709.0,,钟公庙-庙堰
50711.0,,钟公庙-庙堰
50713.0,,钟公庙-庙堰
50715.0,,钟公庙-庙堰
50704.0,,钟公庙-鄞州区政府
50706.0,,钟公庙-鄞州区政府
50708.0,,钟公庙-鄞州区政府
50710.0,,钟公庙-鄞州区政府
50712.0,,钟公庙-鄞州区政府
50714.0,,钟公庙-鄞州区政府
50716.0,,钟公庙-鄞州区政府
50704.0,,钱湖南路-南高教园区
50706.0,,钱湖南路-南高教园区
50708.0,,钱湖南路-南高教园区
50710.0,,钱湖南路-南高教园区
50712.0,,钱湖南路-南高教园区
50714.0,,钱湖南路-南高教园区
50716.0,,钱湖南路-南高教园区
50703.0,,钱湖南路-鄞州区政府
50705.0,,钱湖南路-鄞州区政府
50707.0,,钱湖南路-鄞州区政府
50709.0,,钱湖南路-鄞州区政府
50711.0,,钱湖南路-鄞州区政府
50713.0,,钱湖南路-鄞州区政府
50715.0,,钱湖南路-鄞州区政府
50703.0,,镇海大道-永茂路
50705.0,,镇海大道-永茂路
50707.0,,镇海大道-永茂路
50709.0,,镇海大道-永茂路
50711.0,,镇海大道-永茂路
50713.0,,镇海大道-永茂路
50715.0,,镇海大道-永茂路
50704.0,,镇海大道-骆驼桥
50706.0,,镇海大道-骆驼桥
50708.0,,镇海大道-骆驼桥
50710.0,,镇海大道-骆驼桥
50712.0,,镇海大道-骆驼桥
50714.0,,镇海大道-骆驼桥
50716.0,,镇海大道-骆驼桥
50703.0,,院士路-会展中心
50705.0,,院士路-会展中心
50707.0,,院士路-会展中心
50709.0,,院士路-会展中心
50711.0,,院士路-会展中心
50713.0,,院士路-会展中心
50715.0,,院士路-会展中心
50704.0,,院士路-盎孟港
50706.0,,院士路-盎孟港
50708.0,,院士路-盎孟港
50710.0,,院士路-盎孟港
50712.0,,院士路-盎孟港
50714.0,,院士路-盎孟港
50716.0,,院士路-盎孟港
50704.0,,雅渡-庙堰
50706.0,,雅渡-庙堰
50708.0,,雅渡-庙堰
50710.0,,雅渡-庙堰
50712.0,,雅渡-庙堰
50714.0,,雅渡-庙堰
50716.0,,雅渡-庙堰
50703.0,,雅渡-石碶
50705.0,,雅渡-石碶
50707.0,,雅渡-石碶
50709.0,,雅渡-石碶
50711.0,,雅渡-石碶
50713.0,,雅渡-石碶
50715.0,,雅渡-石碶
50703.0,,骆驼桥-镇海大道
50705.0,,骆驼桥-镇海大道
50707.0,,骆驼桥-镇海大道
50709.0,,骆驼桥-镇海大道
50711.0,,骆驼桥-镇海大道
50713.0,,骆驼桥-镇海大道
51902.0,,三官堂-兴庄路
51904.0,,三官堂-兴庄路
51906.0,,三官堂-兴庄路
51908.0,,三官堂-兴庄路
51910.0,,三官堂-兴庄路
51912.0,,三官堂-兴庄路
51914.0,,三官堂-兴庄路
51916.0,,三官堂-兴庄路
51903.0,,三官堂-盎孟港
51905.0,,三官堂-盎孟港
51907.0,,三官堂-盎孟港
51909.0,,三官堂-盎孟港
51911.0,,三官堂-盎孟港
51913.0,,三官堂-盎孟港
51915.0,,三官堂-盎孟港
51903.0,,下应路-南高教园区
51905.0,,下应路-南高教园区
51907.0,,下应路-南高教园区
51909.0,,下应路-南高教园区
51911.0,,下应路-南高教园区
51913.0,,下应路-南高教园区
51915.0,,下应路-南高教园区
51902.0,,下应路-大洋江
51904.0,,下应路-大洋江
51906.0,,下应路-大洋江
51908.0,,下应路-大洋江
51910.0,,下应路-大洋江
51912.0,,下应路-大洋江
51914.0,,下应路-大洋江
51916.0,,下应路-大洋江
51903.0,,会展中心-民安东路
51905.0,,会展中心-民安东路
51907.0,,会展中心-民安东路
51909.0,,会展中心-民安东路
51911.0,,会展中心-民安东路
51913.0,,会展中心-民安东路
51915.0,,会展中心-民安东路
51902.0,,会展中心-院士路
51904.0,,会展中心-院士路
51906.0,,会展中心-院士路
51908.0,,会展中心-院士路
51910.0,,会展中心-院士路
51912.0,,会展中心-院士路
51914.0,,会展中心-院士路
51916.0,,会展中心-院士路
51903.0,,兴庄路-三官堂
51905.0,,兴庄路-三官堂
51907.0,,兴庄路-三官堂
51909.0,,兴庄路-三官堂
51911.0,,兴庄路-三官堂
51913.0,,兴庄路-三官堂
51915.0,,兴庄路-三官堂
51902.0,,兴庄路-兴海南路
51904.0,,兴庄路-兴海南路
51906.0,,兴庄路-兴海南路
51908.0,,兴庄路-兴海南路
51910.0,,兴庄路-兴海南路
51912.0,,兴庄路-兴海南路
51914.0,,兴庄路-兴海南路
51916.0,,兴庄路-兴海南路
51903.0,,兴海南路-兴庄路
51905.0,,兴海南路-兴庄路
51907.0,,兴海南路-兴庄路
51909.0,,兴海南路-兴庄路
51911.0,,兴海南路-兴庄路
51913.0,,兴海南路-兴庄路
51915.0,,兴海南路-兴庄路
51902.0,,兴海南路-梅堰
51904.0,,兴海南路-梅堰
51906.0,,兴海南路-梅堰
51908.0,,兴海南路-梅堰
51910.0,,兴海南路-梅堰
51912.0,,兴海南路-梅堰
51914.0,,兴海南路-梅堰
51916.0,,兴海南路-梅堰
51902.0,,南高教园区-下应路
51904.0,,南高教园区-下应路
51906.0,,南高教园区-下应路
51908.0,,南高教园区-下应路
51910.0,,南高教园区-下应路
51912.0,,南高教园区-下应路
51914.0,,南高教园区-下应路
51916.0,,南高教园区-下应路
51903.0,,南高教园区-钱湖南路
51905.0,,南高教园区-钱湖南路
51907.0,,南高教园区-钱湖南路
51909.0,,南高教园区-钱湖南路
51911.0,,南高教园区-钱湖南路
51913.0,,南高教园区-钱湖南路
51915.0,,南高教园区-钱湖南路
51903.0,,同德路-张家潭
51905.0,,同德路-张家潭
51907.0,,同德路-张家潭
51909.0,,同德路-张家潭
51911.0,,同德路-张家潭
51913.0,,同德路-张家潭
51915.0,,同德路-张家潭
51902.0,,同德路-石碶
51904.0,,同德路-石碶
51906.0,,同德路-石碶
51908.0,,同德路-石碶
51910.0,,同德路-石碶
51912.0,,同德路-石碶
51914.0,,同德路-石碶
51916.0,,同德路-石碶
51903.0,,大洋江-下应路
51905.0,,大洋江-下应路
51907.0,,大洋江-下应路
51909.0,,大洋江-下应路
51911.0,,大洋江-下应路
51913.0,,大洋江-下应路
51915.0,,大洋江-下应路
51902.0,,大洋江-泗港
51904.0,,大洋江-泗港
51906.0,,大洋江-泗港
51908.0,,大洋江-泗港
51910.0,,大洋江-泗港
51912.0,,大洋江-泗港
51914.0,,大洋江-泗港
51916.0,,大洋江-泗港
51902.0,,布政-张家潭
51904.0,,布政-张家潭
51906.0,,布政-张家潭
51908.0,,布政-张家潭
51910.0,,布政-张家潭
51912.0,,布政-张家潭
51914.0,,布政-张家潭
51916.0,,布政-张家潭
51902.0,,庙堰-钟公庙
51904.0,,庙堰-钟公庙
51906.0,,庙堰-钟公庙
51908.0,,庙堰-钟公庙
51910.0,,庙堰-钟公庙
51912.0,,庙堰-钟公庙
51914.0,,庙堰-钟公庙
51916.0,,庙堰-钟公庙
51903.0,,庙堰-雅渡
51905.0,,庙堰-雅渡
51907.0,,庙堰-雅渡
51909.0,,庙堰-雅渡
51911.0,,庙堰-雅渡
51913.0,,庙堰-雅渡
51915.0,,庙堰-雅渡
51902.0,,张家潭-同德路
51904.0,,张家潭-同德路
51906.0,,张家潭-同德路
51908.0,,张家潭-同德路
51910.0,,张家潭-同德路
51912.0,,张家潭-同德路
51914.0,,张家潭-同德路
51916.0,,张家潭-同德路
51903.0,,张家潭-布政
51905.0,,张家潭-布政
51907.0,,张家潭-布政
51909.0,,张家潭-布政
51911.0,,张家潭-布政
51913.0,,张家潭-布政
51915.0,,张家潭-布政
51902.0,,曹隘-柳隘
51904.0,,曹隘-柳隘
51906.0,,曹隘-柳隘
51908.0,,曹隘-柳隘
51910.0,,曹隘-柳隘
51912.0,,曹隘-柳隘
51914.0,,曹隘-柳隘
51916.0,,曹隘-柳隘
51903.0,,曹隘-泗港
51905.0,,曹隘-泗港
51907.0,,曹隘-泗港
51909.0,,曹隘-泗港
51913.0,,曹隘-泗港
51915.0,,曹隘-泗港
51903.0,,柳隘-曹隘
51905.0,,柳隘-曹隘
51907.0,,柳隘-曹隘
51909.0,,柳隘-曹隘
51911.0,,柳隘-曹隘
51913.0,,柳隘-曹隘
51915.0,,柳隘-曹隘
51902.0,,柳隘-海晏北路
51904.0,,柳隘-海晏北路
51906.0,,柳隘-海晏北路
51908.0,,柳隘-海晏北路
51910.0,,柳隘-海晏北路
51912.0,,柳隘-海晏北路
51914.0,,柳隘-海晏北路
51916.0,,柳隘-海晏北路
51903.0,,梅堰-兴海南路
51905.0,,梅堰-兴海南路
51907.0,,梅堰-兴海南路
51909.0,,梅堰-兴海南路
51911.0,,梅堰-兴海南路
51913.0,,梅堰-兴海南路
51915.0,,梅堰-兴海南路
51902.0,,梅堰-永茂路
51904.0,,梅堰-永茂路
51906.0,,梅堰-永茂路
51908.0,,梅堰-永茂路
51910.0,,梅堰-永茂路
51912.0,,梅堰-永茂路
51914.0,,梅堰-永茂路
51916.0,,梅堰-永茂路
51902.0,,民安东路-会展中心
51904.0,,民安东路-会展中心
51906.0,,民安东路-会展中心
51908.0,,民安东路-会展中心
51910.0,,民安东路-会展中心
51912.0,,民安东路-会展中心
51914.0,,民安东路-会展中心
51916.0,,民安东路-会展中心
51903.0,,民安东路-海晏北路
51905.0,,民安东路-海晏北路
51907.0,,民安东路-海晏北路
51909.0,,民安东路-海晏北路
51911.0,,民安东路-海晏北路
51913.0,,民安东路-海晏北路
51915.0,,民安东路-海晏北路
51903.0,,永茂路-梅堰
51905.0,,永茂路-梅堰
51907.0,,永茂路-梅堰
51909.0,,永茂路-梅堰
51911.0,,永茂路-梅堰
51913.0,,永茂路-梅堰
51915.0,,永茂路-梅堰
51902.0,,永茂路-镇海大道
51904.0,,永茂路-镇海大道
51906.0,,永茂路-镇海大道
51908.0,,永茂路-镇海大道
51910.0,,永茂路-镇海大道
51912.0,,永茂路-镇海大道
51914.0,,永茂路-镇海大道
51916.0,,永茂路-镇海大道
51903.0,,泗港-大洋江
51905.0,,泗港-大洋江
51907.0,,泗港-大洋江
51909.0,,泗港-大洋江
51911.0,,泗港-大洋江
51913.0,,泗港-大洋江
51915.0,,泗港-大洋江
51902.0,,泗港-曹隘
51904.0,,泗港-曹隘
51906.0,,泗港-曹隘
51908.0,,泗港-曹隘
51910.0,,泗港-曹隘
51912.0,,泗港-曹隘
51914.0,,泗港-曹隘
51916.0,,泗港-曹隘
51903.0,,海晏北路-柳隘
51905.0,,海晏北路-柳隘
51907.0,,海晏北路-柳隘
51909.0,,海晏北路-柳隘
51911.0,,海晏北路-柳隘
51913.0,,海晏北路-柳隘
51915.0,,海晏北路-柳隘
51902.0,,海晏北路-民安东路
51904.0,,海晏北路-民安东路
51906.0,,海晏北路-民安东路
51908.0,,海晏北路-民安东路
51910.0,,海晏北路-民安东路
51912.0,,海晏北路-民安东路
51914.0,,海晏北路-民安东路
51916.0,,海晏北路-民安东路
51902.0,,盎孟港-三官堂
51904.0,,盎孟港-三官堂
51906.0,,盎孟港-三官堂
51908.0,,盎孟港-三官堂
51910.0,,盎孟港-三官堂
51912.0,,盎孟港-三官堂
51914.0,,盎孟港-三官堂
51916.0,,盎孟港-三官堂
51903.0,,盎孟港-院士路
51905.0,,盎孟港-院士路
51907.0,,盎孟港-院士路
51909.0,,盎孟港-院士路
51911.0,,盎孟港-院士路
51913.0,,盎孟港-院士路
51915.0,,盎孟港-院士路
51903.0,,石碶-同德路
51905.0,,石碶-同德路
51907.0,,石碶-同德路
51909.0,,石碶-同德路
51911.0,,石碶-同德路
51913.0,,石碶-同德路
51915.0,,石碶-同德路
51902.0,,石碶-雅渡
51904.0,,石碶-雅渡
51906.0,,石碶-雅渡
51908.0,,石碶-雅渡
51910.0,,石碶-雅渡
51912.0,,石碶-雅渡
51914.0,,石碶-雅渡
51916.0,,石碶-雅渡
51903.0,,鄞州区政府-钟公庙
51905.0,,鄞州区政府-钟公庙
51907.0,,鄞州区政府-钟公庙
51909.0,,鄞州区政府-钟公庙
51911.0,,鄞州区政府-钟公庙
51913.0,,鄞州区政府-钟公庙
51915.0,,鄞州区政府-钟公庙
51902.0,,鄞州区政府-钱湖南路
51904.0,,鄞州区政府-钱湖南路
51906.0,,鄞州区政府-钱湖南路
51908.0,,鄞州区政府-钱湖南路
51910.0,,鄞州区政府-钱湖南路
51912.0,,鄞州区政府-钱湖南路
51914.0,,鄞州区政府-钱湖南路
51916.0,,鄞州区政府-钱湖南路
51903.0,,钟公庙-庙堰
51905.0,,钟公庙-庙堰
51907.0,,钟公庙-庙堰
51909.0,,钟公庙-庙堰
51911.0,,钟公庙-庙堰
51913.0,,钟公庙-庙堰
51915.0,,钟公庙-庙堰
51902.0,,钟公庙-鄞州区政府
51904.0,,钟公庙-鄞州区政府
51906.0,,钟公庙-鄞州区政府
51908.0,,钟公庙-鄞州区政府
51910.0,,钟公庙-鄞州区政府
51912.0,,钟公庙-鄞州区政府
51914.0,,钟公庙-鄞州区政府
51916.0,,钟公庙-鄞州区政府
51902.0,,钱湖南路-南高教园区
51904.0,,钱湖南路-南高教园区
51906.0,,钱湖南路-南高教园区
51908.0,,钱湖南路-南高教园区
51910.0,,钱湖南路-南高教园区
51912.0,,钱湖南路-南高教园区
51914.0,,钱湖南路-南高教园区
51916.0,,钱湖南路-南高教园区
51903.0,,钱湖南路-鄞州区政府
51905.0,,钱湖南路-鄞州区政府
51907.0,,钱湖南路-鄞州区政府
51909.0,,钱湖南路-鄞州区政府
51911.0,,钱湖南路-鄞州区政府
51913.0,,钱湖南路-鄞州区政府
51915.0,,钱湖南路-鄞州区政府
51903.0,,镇海大道-永茂路
51905.0,,镇海大道-永茂路
51907.0,,镇海大道-永茂路
51909.0,,镇海大道-永茂路
51911.0,,镇海大道-永茂路
51913.0,,镇海大道-永茂路
51915.0,,镇海大道-永茂路
51902.0,,镇海大道-骆驼桥
51904.0,,镇海大道-骆驼桥
51906.0,,镇海大道-骆驼桥
51908.0,,镇海大道-骆驼桥
51910.0,,镇海大道-骆驼桥
51912.0,,镇海大道-骆驼桥
51914.0,,镇海大道-骆驼桥
51916.0,,镇海大道-骆驼桥
51903.0,,院士路-会展中心
51905.0,,院士路-会展中心
51907.0,,院士路-会展中心
51909.0,,院士路-会展中心
51911.0,,院士路-会展中心
51913.0,,院士路-会展中心
51915.0,,院士路-会展中心
51902.0,,院士路-盎孟港
51904.0,,院士路-盎孟港
51906.0,,院士路-盎孟港
51908.0,,院士路-盎孟港
51910.0,,院士路-盎孟港
51912.0,,院士路-盎孟港
51914.0,,院士路-盎孟港
51916.0,,院士路-盎孟港
51902.0,,雅渡-庙堰
51904.0,,雅渡-庙堰
51906.0,,雅渡-庙堰
51908.0,,雅渡-庙堰
51910.0,,雅渡-庙堰
51912.0,,雅渡-庙堰
51914.0,,雅渡-庙堰
51916.0,,雅渡-庙堰
51903.0,,雅渡-石碶
51905.0,,雅渡-石碶
51907.0,,雅渡-石碶
51909.0,,雅渡-石碶
51911.0,,雅渡-石碶
51913.0,,雅渡-石碶
51915.0,,雅渡-石碶
51903.0,,骆驼桥-镇海大道
51905.0,,骆驼桥-镇海大道
51907.0,,骆驼桥-镇海大道
51909.0,,骆驼桥-镇海大道
51911.0,,骆驼桥-镇海大道
51913.0,,骆驼桥-镇海大道
51915.0,,骆驼桥-镇海大道
50304.0,,三官堂-兴庄路
53002.0,,三官堂-兴庄路
53004.0,,三官堂-兴庄路
53006.0,,三官堂-兴庄路
50503.0,,三官堂-盎孟港
52503.0,,三官堂-盎孟港
53003.0,,三官堂-盎孟港
53005.0,,三官堂-盎孟港
50503.0,,下应路-南高教园区
52503.0,,下应路-南高教园区
53003.0,,下应路-南高教园区
53005.0,,下应路-南高教园区
50304.0,,下应路-大洋江
53002.0,,下应路-大洋江
53004.0,,下应路-大洋江
53006.0,,下应路-大洋江
50503.0,,会展中心-民安东路
52503.0,,会展中心-民安东路
53003.0,,会展中心-民安东路
53005.0,,会展中心-民安东路
50304.0,,会展中心-院士路
53002.0,,会展中心-院士路
53004.0,,会展中心-院士路
53006.0,,会展中心-院士路
50503.0,,兴庄路-三官堂
52503.0,,兴庄路-三官堂
53003.0,,兴庄路-三官堂
53005.0,,兴庄路-三官堂
50304.0,,兴庄路-兴海南路
53002.0,,兴庄路-兴海南路
53004.0,,兴庄路-兴海南路
53006.0,,兴庄路-兴海南路
50503.0,,兴海南路-兴庄路
52503.0,,兴海南路-兴庄路
53003.0,,兴海南路-兴庄路
53005.0,,兴海南路-兴庄路
50304.0,,兴海南路-梅堰
53002.0,,兴海南路-梅堰
53004.0,,兴海南路-梅堰
53006.0,,兴海南路-梅堰
50304.0,,南高教园区-下应路
53002.0,,南高教园区-下应路
53004.0,,南高教园区-下应路
53006.0,,南高教园区-下应路
50503.0,,南高教园区-钱湖南路
52503.0,,南高教园区-钱湖南路
53003.0,,南高教园区-钱湖南路
53005.0,,南高教园区-钱湖南路
50503.0,,同德路-张家潭
52503.0,,同德路-张家潭
53003.0,,同德路-张家潭
53005.0,,同德路-张家潭
50503.0,,同德路-石碶
53002.0,,同德路-石碶
53004.0,,同德路-石碶
53006.0,,同德路-石碶
50503.0,,大洋江-下应路
52503.0,,大洋江-下应路
53003.0,,大洋江-下应路
53005.0,,大洋江-下应路
50304.0,,大洋江-泗港
53002.0,,大洋江-泗港
53004.0,,大洋江-泗港
53006.0,,大洋江-泗港
50503.0,,布政-张家潭
53002.0,,布政-张家潭
53004.0,,布政-张家潭
53006.0,,布政-张家潭
50503.0,,庙堰-钟公庙
53002.0,,庙堰-钟公庙
53004.0,,庙堰-钟公庙
53006.0,,庙堰-钟公庙
50503.0,,庙堰-雅渡
52503.0,,庙堰-雅渡
53003.0,,庙堰-雅渡
53005.0,,庙堰-雅渡
50503.0,,张家潭-同德路
53002.0,,张家潭-同德路
53004.0,,张家潭-同德路
53006.0,,张家潭-同德路
50503.0,,张家潭-布政
52503.0,,张家潭-布政
53003.0,,张家潭-布政
53005.0,,张家潭-布政
50304.0,,曹隘-柳隘
53002.0,,曹隘-柳隘
53004.0,,曹隘-柳隘
53006.0,,曹隘-柳隘
50503.0,,曹隘-泗港
52503.0,,曹隘-泗港
53003.0,,曹隘-泗港
53005.0,,曹隘-泗港
50503.0,,柳隘-曹隘
52503.0,,柳隘-曹隘
53003.0,,柳隘-曹隘
53005.0,,柳隘-曹隘
50304.0,,柳隘-海晏北路
